name	source	kind	value	currency	captured_at	note
Crystalline Crawler	ligamagic	menor	3.60	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Alibou, Ancient Witness	ligamagic	menor	5.84	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Deepglow Skate	ligamagic	menor	2.04	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Kappa Cannoneer	ligamagic	menor	5.60	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Cyberdrive Awakener	ligamagic	menor	14.94	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Thought Monitor	ligamagic	menor	6.54	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Ethersworn Sphinx	ligamagic	menor	0.09	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Saheeli, Sublime Artificer	ligamagic	menor	0.43	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Dispatch	ligamagic	menor	31.50	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Swords to Plowshares	ligamagic	menor	13.99	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Loran's Escape	ligamagic	menor	9.99	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Blacksmith's Skill	ligamagic	menor	0.89	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Restoration Magic	ligamagic	menor	10.73	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Sunder the Gateway	ligamagic	menor	0.13	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Invisible Force Field	ligamagic	menor	8.75	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Stone by Sunlight	ligamagic	menor	0.10	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Stern Lesson	ligamagic	menor	0.10	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Tezzeret's Gambit	ligamagic	menor	0.50	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Chain Reaction	ligamagic	menor	0.90	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Reverse Engineer	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Voyage Home	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Organic Extinction	ligamagic	menor	3.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Everflowing Chalice	ligamagic	menor	0.99	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Astral Cornucopia	ligamagic	menor	0.85	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Sol Ring	ligamagic	menor	7.95	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Pentad Prism	ligamagic	menor	0.57	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Spring-Loaded Sawblades // Bladewheel Chariot	ligamagic	menor	0.10	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Arcane Signet	ligamagic	menor	4.00	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Talisman of Progress	ligamagic	menor	4.60	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Cloud Key	ligamagic	menor	8.25	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Brotherhood Vertibird	ligamagic	menor	1.57	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Golem Foundry	ligamagic	menor	1.13	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Perilous Snare	ligamagic	menor	1.00	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Midnight Clock	ligamagic	menor	1.79	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Solar Array	ligamagic	menor	1.99	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Uthros Research Craft	ligamagic	menor	10.23	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Warmaker Gunship	ligamagic	menor	0.25	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Empowered Autogenerator	ligamagic	menor	2.00	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Thousand Moons Smithy // Barracks of the Thousand	ligamagic	menor	5.40	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Recon Craft Theta	ligamagic	menor	3.95	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Dawnsire, Sunstar Dreadnought	ligamagic	menor	8.74	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Thopter Spy Network	ligamagic	menor	0.89	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Whirlwind of Thought	ligamagic	menor	1.15	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Port Town	ligamagic	menor	1.00	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Irrigated Farmland	ligamagic	menor	0.80	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Battlefield Forge	ligamagic	menor	3.79	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Glacial Fortress	ligamagic	menor	1.85	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Mystic Monastery	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Perilous Landscape	ligamagic	menor	0.23	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Vivid Crag	ligamagic	menor	0.49	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Exotic Orchard	ligamagic	menor	1.00	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Rustvale Bridge	ligamagic	menor	1.09	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Razortide Bridge	ligamagic	menor	1.35	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Silverbluff Bridge	ligamagic	menor	1.15	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Rugged Prairie	ligamagic	menor	2.73	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Clifftop Retreat	ligamagic	menor	2.90	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Temple of Enlightenment	ligamagic	menor	0.50	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Command Tower	ligamagic	menor	1.50	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Skycloud Expanse	ligamagic	menor	1.26	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Spire of Industry	ligamagic	menor	0.95	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Otharri, Suns' Glory	ligamagic	menor	24.79	BRL	2026-09-19	
Aurelia, the Law Above	ligamagic	menor	4.00	BRL	2026-09-19	
Aurelia, the Warleader	ligamagic	menor	58.50	BRL	2026-09-19	
Neyali, Suns' Vanguard	ligamagic	menor	22.98	BRL	2026-09-19	
Warleader's Call	ligamagic	menor	20.75	BRL	2026-09-19	
Radiant Destiny	ligamagic	menor	1.58	BRL	2026-09-19	
Molten Gatekeeper	ligamagic	menor	0.22	BRL	2026-09-19	
Goblin War Drums	ligamagic	menor	2.90	BRL	2026-09-19	
Barrage of Boulders	ligamagic	menor	0.05	BRL	2026-09-19	
Combat Celebrant	ligamagic	menor	11.99	BRL	2026-09-19	
Tome of Legends	ligamagic	menor	1.20	BRL	2026-09-19	
Staff of the Storyteller	ligamagic	menor	9.88	BRL	2026-09-19	
Wedding Announcement // Wedding Festivity	ligamagic	menor	3.73	BRL	2026-09-19	
Tocasia's Welcome	ligamagic	menor	7.88	BRL	2026-09-19	
Palace Jailer	ligamagic	menor	0.30	BRL	2026-09-19	
Talisman of Conviction	ligamagic	menor	3.80	BRL	2026-09-19	
Fellwar Stone	ligamagic	menor	14.50	BRL	2026-09-19	
Sword of the Animist	ligamagic	menor	27.00	BRL	2026-09-19	
Unbreakable Formation	ligamagic	menor	8.99	BRL	2026-09-19	
Winds of Abandon	ligamagic	menor	19.41	BRL	2026-09-19	
Hour of Reckoning	ligamagic	menor	0.84	BRL	2026-09-19	
Vandalblast	ligamagic	menor	39.99	BRL	2026-09-19	
Furycalm Snarl	ligamagic	menor	1.10	BRL	2026-09-19	
Witty Roastmaster	ligamagic	menor	5.83	BRL	2026-09-19	
Knight of the White Orchid	ligamagic	menor	10.99	BRL	2026-09-19	
Generous Gift	ligamagic	menor	5.00	BRL	2026-09-19	
Hexgold Halberd	ligamagic	menor	0.10	BRL	2026-09-19	
Karn's Bastion	ligamagic	menor	9.85	BRL	2026-09-19	
Great Train Heist	ligamagic	menor	22.80	BRL	2026-09-19	
Loyal Warhound	ligamagic	menor	2.59	BRL	2026-09-19	
Oracle's Vault	ligamagic	menor	0.25	BRL	2026-09-19	
Hero of Bladehold	ligamagic	menor	6.75	BRL	2026-09-19	
Intangible Virtue	ligamagic	menor	0.35	BRL	2026-09-19	
Adeline, Resplendent Cathar	ligamagic	menor	23.88	BRL	2026-09-19	
Assemble the Legion	ligamagic	menor	0.75	BRL	2026-09-19	
Seething Song	ligamagic	menor	54.44	BRL	2026-09-19	
Mana Geyser	ligamagic	menor	12.35	BRL	2026-09-19	
Phoenix Chick	ligamagic	menor	0.43	BRL	2026-09-19	
Furycalm Snarl	ligamagic	menor	1.10	BRL	2026-09-20	
Hexplate Wallbreaker	ligamagic	menor	49.90	BRL	2026-09-23	captura manual do teste de mesa v1
Glimmer Lens	ligamagic	menor	21.75	BRL	2026-09-23	captura manual do teste de mesa v1
Barbed Batterfist	ligamagic	menor	0.89	BRL	2026-09-23	captura manual do teste de mesa v1
Bladehold War-Whip	ligamagic	menor	0.10	BRL	2026-09-23	captura manual do teste de mesa v1
Vulshok Splitter	ligamagic	menor	0.04	BRL	2026-09-23	captura manual do teste de mesa v1
Blasphemous Act	ligamagic	menor	12.10	BRL	2026-09-23	
Boros Charm	ligamagic	menor	33.17	BRL	2026-09-23	
Faithless Looting	ligamagic	menor	5.40	BRL	2026-09-23	
Torbran, Thane of Red Fell	ligamagic	menor	6.98	BRL	2026-09-23	
Thrill of Possibility	ligamagic	menor	0.50	BRL	2026-09-23	
Fiery Emancipation	ligamagic	menor	54.54	BRL	2026-09-23	
Sunforger	ligamagic	menor	6.90	BRL	2026-09-23	
Conflagrate	ligamagic	menor	0.07	BRL	2026-09-23	
Firebolt	ligamagic	menor	0.25	BRL	2026-09-23	
Magma Spray	ligamagic	menor	0.05	BRL	2026-09-23	
Lightning Strike	ligamagic	menor	0.10	BRL	2026-09-23	
Seal of Cleansing	ligamagic	menor	0.30	BRL	2026-09-23	
Requisition Raid	ligamagic	menor	0.44	BRL	2026-09-23	
Swift Reckoning	ligamagic	menor	0.10	BRL	2026-09-23	
Disenchant	ligamagic	menor	0.25	BRL	2026-09-23	
Reduce to Memory	ligamagic	menor	0.13	BRL	2026-09-23	
Smite the Deathless	ligamagic	menor	0.12	BRL	2026-09-23	
Lesser Masticore	ligamagic	menor	0.09	BRL	2026-09-23	
Guttersnipe	ligamagic	menor	5.40	BRL	2026-09-23	
Thermo-Alchemist	ligamagic	menor	0.55	BRL	2026-09-23	
